Unnamed: 0,time,carrera,acepta,positivo,negativo,edad,sexo,trabajo
189,27/11/2020,Ciencias de la Educación,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,20,Mujer,No
157,22/11/2020,Ciencias de la Educación,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",20,Mujer,No
158,22/11/2020,Otra,No,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",20,Mujer,No
154,22/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",20,Hombre,Eventual
146,22/11/2020,Ingeniería de Sistemas,Si,Autonomía.,Contacto Personal Docente-Estudiantil.,20,Mujer,Sí
119,19/11/2020,Ciencias de la Educación,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,20,Hombre,Sí
152,22/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Conexión a internet.,20,Hombre,Sí
52,09/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,19,Hombre,Eventual
17,08/11/2020,Ciencias de la Educación,No,Acceso desde cualquier lugar.,Conexión a internet.,19,Mujer,No
16,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Conexión a internet.,19,Mujer,Sí
78,10/11/2020,Otra,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",19,Mujer,Sí
41,09/11/2020,Otra,No,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",19,Hombre,Eventual
199,30/11/2020,Otra,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,19,Hombre,Eventual
205,08/12/2020,Otra,Si,Acceso desde cualquier lugar.,Conexión a internet.,19,Mujer,Eventual
215,08/12/2020,Lingüística e Idiomas,Si,Horario flexible.,Conexión a internet.,19,Hombre,Eventual
193,27/11/2020,Administración de Empresas,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",19,Mujer,Sí
230,10/12/2020,Gestión Turística y Hotelera,Si,Horario flexible.,Conexión a internet.,19,Mujer,Sí
145,22/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Conexión a internet.,19,Mujer,Sí
137,22/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",19,Hombre,Sí
3,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Conexión a internet.,18,Mujer,No
6,08/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",18,Hombre,Eventual
148,22/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",18,Mujer,Eventual
138,22/11/2020,Ciencias Físicas y Energías Alternativas,Si,Acceso desde cualquier lugar.,Conexión a internet.,18,Hombre,Eventual
98,13/11/2020,Otra,Si,Horario flexible.,Conexión a internet.,18,Hombre,No
96,13/11/2020,Ciencias de la Educación,Si,Acceso desde cualquier lugar.,Conexión a internet.,17,Mujer,No
84,10/11/2020,Otra,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,17,Mujer,Sí
85,10/11/2020,Trabajo Social,Si,Horario flexible.,Conexión a internet.,17,Mujer,Sí
109,14/11/2020,Contaduría Pública,Si,Horario flexible.,Conexión a internet.,17,Hombre,Sí
